Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec,UseATRScaling,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,AddSpacing_ATR_Mult,TrailStep_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult
327,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
328,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
329,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
330,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
331,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
332,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.24,6*pip,1.20,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
333,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
334,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
335,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
336,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,1.80,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
337,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
338,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,false,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
339,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.18,0.75,0.00,0.22,0.22
340,EURUSD,45,5,12,4,1.4*pip,1.1*pipPoints,false,false,false,1.6*pip,90,0.28,6*pip,1.00,2.10,0.70,35.0,150,0.55,2.2*pip,2,true,0.9*pip,900,false,0,0,0.00,0.0,0.00,false,0,4.0*pip,0.60,0,true,14,0.45,0.24,0.75,0.00,0.22,0.22
341,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
342,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
343,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
344,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
345,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.25,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
346,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.25,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
347,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.25,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
348,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.25,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
349,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.25,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
350,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.25,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
351,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.25,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
352,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.25,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
353,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.40,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
354,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.40,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
355,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.40,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
356,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.40,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
357,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.40,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
358,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.40,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
359,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.40,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
360,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.40,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
361,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.40,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
362,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.28,7*pip,1.40,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
363,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.40,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
364,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.28,7*pip,1.40,3.00,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
365,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.32,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
366,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.32,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
367,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.32,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
368,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,true,true,false,2.2*pip,110,0.32,7*pip,1.25,2.20,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
369,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.32,7*pip,1.25,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.28
370,EURUSD,55,6,14,4,1.8*pip,1.4*pipPoints,false,true,false,2.2*pip,110,0.32,7*pip,1.25,2.60,0.75,40.0,210,0.65,2.4*pip,2,true,1.2*pip,1200,true,1,18,1.60,0.0,1.00,false,0,5.0*pip,0.65,0,true,16,0.55,0.28,0.90,0.00,0.25,0.32
371,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.22,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,1.80,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.10,0.00,0.28,0.30
372,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.22,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,1.80,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.30,0.00,0.28,0.30
373,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.22,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,2.20,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.10,0.00,0.28,0.30
374,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.22,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,2.20,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.30,0.00,0.28,0.30
375,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.26,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,1.80,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.10,0.00,0.28,0.30
376,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.26,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,1.80,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.30,0.00,0.28,0.30
377,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.26,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,2.20,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.10,0.00,0.28,0.30
378,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.26,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,2.20,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.30,0.00,0.28,0.30
379,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.30,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,1.80,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.10,0.00,0.28,0.30
380,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.30,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,1.80,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.30,0.00,0.28,0.30
381,EURUSD,65,7,18,5,2.2*pip,1.8*pipPoints,true,true,false,2.8*pip,120,0.30,8*pip,1.50,3.40,0.80,30.0,360,0.70,2.6*pip,3,true,1.6*pip,1800,true,1,22,2.20,0.0,1.10,false,0,6.5*pip,0.55,0,true,18,0.70,0.32,1.10,0.00,0.28,0.30
