Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_allow_single_entry,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_atr_factor_from_entry,in_trailing_stop_atr_factor,in_enable_spread_filter,in_max_spread_points,in_enable_session_filter,in_session_start_hour,in_session_end_hour,in_enable_fifty_buffer,in_fifty_buffer,in_after_tp1_mode,in_trailing_stop_atr_factor_after_tp1,in_be_offset_points
1665,82.2,879.59,1.879466,2.498501,3.124654,6.045718,0,17.2722,468,true,5,109,0.4,2.9,2.9,true,40,true,0,21,false,0.44,1,2.5,3
2145,86.23,875.47,2.621168,3.038774,3.663054,9.070502,0,21.2919,334,true,5,98,0.3,2.9,2.9,true,22,true,7,17,false,0.18,1,2.1,1
1048,72.45,872.62,1.92207,2.652815,3.65113,6.658748,0,21.8375,454,true,5,109,0.4,2.2,3.5,true,26,true,2,20,false,0.14,1,2.3,3
1239,77.35,867.92,1.329127,1.982043,2.64642,4.852766,0,19.3497,653,true,5,100,0.3,2.6,2.9,false,32,true,0,20,false,0.22,2,4,3
1329,92.4,864.21,2.824216,3.825878,4.757818,12.203628,0,18.2478,306,true,5,92,0.3,2.1,2.1,true,30,true,1,16,true,0.14,0,2.2,2
2117,94.81,862.09,2.388061,3.577943,5.636049,10.293717,0,16.8225,361,true,5,100,0.4,2.8,3.3,false,32,true,0,17,true,0.06,0,2.6,0
1868,94.81,862.09,2.388061,3.577943,5.636049,10.293717,0,16.8225,361,true,5,100,0.4,2.8,3.3,false,32,true,0,17,true,0.06,0,2.6,1
2482,91.02,850.91,1.988107,3.024097,5.562958,8.276455,0,16.4096,428,true,5,100,0.4,2.3,2.5,true,34,true,0,18,false,0.18,1,2.1,1
2281,89.67,845.55,1.619828,2.444274,5.147945,8.698973,0,10.8789,522,true,5,90,0.3,2.8,3.3,false,32,true,0,16,false,0,0,2,3
1687,89.67,845.55,1.619828,2.444274,5.147945,8.698973,0,10.8789,522,true,5,90,0.3,2.8,3.3,false,32,true,0,16,false,0.08,2,3.8,2
2100,77.44,845.12,2.347556,3.548767,3.536067,8.872443,0,25.2643,360,true,5,109,0.4,2.5,3.5,true,26,true,2,17,false,0.4,1,2.1,1
1614,94.02,842.38,2.079951,3.179114,5.507191,9.747732,0,16.4902,405,true,5,100,0.4,2.8,3.3,false,32,true,0,17,false,0.48,0,2,3
1539,94.02,842.38,2.079951,3.179114,5.507191,9.747732,0,16.4902,405,true,5,100,0.4,2.8,3.3,false,32,true,0,17,false,0.4,1,2.1,3
1229,94.02,842.38,2.079951,3.179114,5.507191,9.747732,0,16.4902,405,true,5,100,0.4,2.8,3.3,false,32,true,0,17,false,0.22,2,3.2,3
803,94.02,842.38,2.079951,3.179114,5.507191,9.747732,0,16.4902,405,true,5,100,0.4,2.8,3.3,false,32,true,0,17,false,0.02,0,2.3,2
707,94.02,842.38,2.079951,3.179114,5.507191,9.747732,0,16.4902,405,true,5,100,0.4,2.8,3.3,false,32,true,0,17,false,0.18,1,2.1,1
1869,82.3,836.28,2.796923,3.124263,3.499079,7.620252,0,21.2473,299,true,5,109,0.4,2.5,3.5,true,26,true,2,20,true,0.14,1,3.5,0
2521,94.77,831.7,2.206101,3.421604,5.437369,10.811678,0,16.2092,377,true,5,100,0.4,2.8,3.3,false,32,true,2,17,false,0.02,0,2.3,2
752,78.86,826.03,1.735357,2.406727,2.914097,6.342338,0,17.9727,476,true,5,109,0.4,2.2,3.5,true,26,true,2,21,false,0.24,0,4,3
2248,77.75,814.33,1.566019,2.382916,4.483209,8.411993,0,20.3888,520,true,5,92,0.3,2.8,3.3,false,22,true,0,16,false,0,0,2,0
1458,78.54,813.38,1.708782,2.385184,2.86947,6.241311,0,18.118,476,true,5,109,0.4,2.2,3.5,true,26,true,2,21,false,0.16,1,3.7,0
1398,63.58,811.8,1.23,1.901469,2.048448,4.833652,0,23.2418,660,true,5,100,0.3,2.1,2.1,true,30,true,1,22,false,0.3,0,3,1
380,74.06,808.61,2.173683,3.252898,3.383305,8.738337,0,25.2744,372,true,5,109,0.4,2.2,3.5,true,26,true,2,17,false,0.36,0,2.2,3
2653,93.62,806.59,2.253045,3.232095,4.96302,8.521558,0,16.761,358,true,5,101,0.4,2.9,3.6,false,34,true,3,18,false,0.3,2,2.9,1
2537,77.68,805.02,1.548115,2.345827,4.431953,8.237455,0,20.4214,520,true,5,92,0.3,2.9,2,true,34,true,0,16,false,0.28,2,3.2,0
2028,90.31,776.29,1.641205,2.383835,3.713951,7.174752,0,14.2308,473,true,5,100,0.4,2.8,3.3,false,32,true,0,20,true,0,0,3,0
1779,90.31,776.29,1.641205,2.383835,3.713951,7.174752,0,14.2308,473,true,5,100,0.4,2.8,3.3,false,32,true,0,20,false,0,0,3.9,2
1532,78.1,771.39,3.214125,3.360073,3.227573,7.913964,0,21.2261,240,true,5,109,0.4,2.4,2.5,false,22,true,9,19,false,0.36,2,2.1,0
1581,85.11,771.32,1.551952,2.199471,3.463805,6.67262,0,14.905,497,true,5,92,0.3,2.9,3.6,false,34,true,3,18,false,0.22,2,3.2,2
1004,85.11,771.32,1.551952,2.199471,3.463805,6.67262,0,14.905,497,true,5,92,0.3,2.9,3.6,false,34,true,3,18,false,0.02,0,2.3,2
2025,84.87,770.07,1.82481,2.596629,4.23954,9.526949,0,19.1168,422,true,5,92,0.3,2.9,3.6,false,34,true,3,16,false,0,0,2,0
957,73.22,767.86,1.90536,2.304243,2.974818,7.038596,0,23.6436,403,true,5,100,0.3,2.6,2,true,26,true,7,19,false,0.22,2,4,3
2622,99.46,767.84,2.103671,3.315072,5.545973,11.73938,0,9.9867,365,true,5,103,0.3,3,2.5,true,22,true,2,15,true,0.02,0,2.4,3
1247,60.19,760.34,1.204976,1.873864,1.940732,4.82306,0,23.7329,631,true,5,98,0.3,2.2,3.7,false,26,false,9,18,true,0.06,0,2.6,0
544,60.19,760.34,1.204976,1.873864,1.940732,4.82306,0,23.7329,631,true,5,98,0.3,2.2,3.7,false,26,false,9,16,true,0.06,2,3.1,3
227,60.19,760.34,1.204976,1.873864,1.940732,4.82306,0,23.7329,631,true,5,98,0.3,2.2,3.7,false,26,false,9,15,true,0.06,2,3.1,3
2084,71.55,760.32,1.445475,2.064725,2.26407,6.31844,0,21.0395,526,true,5,92,0.3,2.1,2.1,true,30,true,1,21,true,0.08,2,3.7,3
1019,61.34,760.31,1.587286,1.982859,1.953119,4.587394,0,23.5986,479,true,5,100,0.3,2.6,2.9,true,32,false,9,19,true,0.14,1,3.5,1
1140,59.7,756.96,1.19962,1.857094,1.922389,4.665145,0,23.8653,631,true,5,98,0.3,2.5,2.2,false,24,false,1,16,true,0.06,2,3.1,3
821,59.7,756.96,1.19962,1.857094,1.922389,4.665145,0,23.8653,631,true,5,98,0.3,2.5,2.6,false,26,false,6,16,true,0.06,2,3.1,3
1552,83.13,754.79,3.577204,3.92838,3.289705,8.712416,0,19.9269,211,true,5,108,0.4,2.4,2.6,false,38,true,8,18,false,0.22,2,3.2,3
1137,83.13,754.79,3.577204,3.92838,3.289705,8.712416,0,19.9269,211,true,5,108,0.4,2.4,2.6,false,38,true,8,18,false,0.4,1,2.1,3
2732,99.68,753.91,2.933502,5.622379,10.708949,16.458914,0,9.6568,257,true,5,107,0.5,2.9,2.9,true,30,true,0,18,true,0.06,0,2.6,0
715,54.92,746.99,1.004019,1.703659,1.811368,3.872924,0,24.8546,744,true,5,100,0.3,2.6,2.9,true,32,false,9,19,false,0.22,2,4,3
2089,95.78,746.6,2.49699,3.668811,5.206416,10.489023,0,15.9063,299,true,5,99,0.4,2.5,2.7,true,40,true,3,17,true,0.06,0,2.6,0
1192,86.85,744.63,3.72315,4.025598,3.386529,8.662562,0,19.3694,200,true,5,107,0.4,2.4,2.6,false,38,true,8,18,false,0.02,0,2.3,2
2309,70.47,739.87,1.673914,2.475285,2.976625,8.476606,0,26.0381,442,true,5,101,0.3,2.6,3.1,false,30,true,4,16,false,0,0,2,0
1220,54.09,739.83,1.012079,1.690101,1.776388,3.691781,0,25.1451,731,true,5,100,0.3,3,3.7,true,26,false,5,16,false,0.3,1,3.5,1
2761,98.83,737.81,2.893373,5.410102,10.42399,16.539001,0,13.0348,255,true,5,107,0.5,2.6,2.4,false,22,true,2,18,true,0.06,0,2.6,3
2182,98.83,737.81,2.893373,5.410102,10.42399,16.539001,0,13.0348,255,true,5,107,0.5,2.6,2.4,false,22,true,2,18,true,0.06,0,2.6,0
1866,92.04,732.79,2.064197,2.998282,5.47512,9.876806,0,18.7548,355,true,5,101,0.3,2.6,3.2,true,40,true,0,15,true,0.08,2,3.2,3
3080,99.63,730.96,2.811385,5.055482,10.382955,16.06561,0,10.0211,260,true,5,107,0.5,2.9,2.6,true,26,true,1,18,true,0.06,0,2.6,0
2689,99.63,730.7,2.810385,5.103212,10.379261,16.198056,0,9.9816,260,true,5,107,0.5,2.6,2.4,false,32,true,1,18,true,0.06,0,2.6,0
1840,91.48,728.8,2.335897,3.610128,5.082287,12.102128,0,19.1356,312,true,5,100,0.4,2.9,3.3,false,32,true,0,16,true,0.08,2,3.2,0
1586,92.89,727.04,2.16381,3.190341,4.753138,9.690658,0,16.7649,336,true,5,100,0.4,2.8,2.2,false,32,true,3,17,false,0.18,1,2.1,1
3249,99.89,726.67,2.8951,5.310791,10.63627,17.651279,0,6.9356,251,true,5,104,0.5,2.8,2.6,true,32,true,0,18,true,0.06,0,2.6,0
1122,50.95,725.29,0.988134,1.665996,1.699566,3.161764,0,26.0179,734,true,5,104,0.3,2.5,3.1,false,24,false,5,16,false,0.38,1,3.7,3
1326,79.62,724.79,2.360879,2.841438,2.915956,9.636354,0,24.9375,307,true,5,101,0.3,2.6,2.3,true,26,true,7,16,false,0.08,0,3.4,3
2459,81.52,724.38,2.4146,2.855482,3.030879,10.023898,0,24.0092,300,true,5,98,0.3,2.9,2.9,true,22,true,7,16,false,0.3,1,3.5,1
1073,51.26,723.82,0.967674,1.666949,1.717778,3.330613,0,25.803,748,true,5,104,0.3,2.1,3.3,false,22,false,5,18,false,0.02,0,2.3,2
307,51.26,723.82,0.967674,1.666949,1.717778,3.330613,0,25.803,748,true,5,104,0.3,2.1,3.3,false,22,false,5,15,false,0.32,0,2.1,1
1371,67.19,723.11,1.339093,1.99558,2.209049,4.814538,0,21.6067,540,true,5,108,0.4,2.4,2.6,false,38,false,8,18,false,0.4,1,2.1,3
1943,78.47,722.43,1.474347,2.175008,2.46681,6.632316,0,19.54,490,true,5,100,0.4,2.8,3.3,false,32,true,0,21,false,0.44,1,2.5,3
1151,78.47,722.43,1.474347,2.175008,2.46681,6.632316,0,19.54,490,true,5,100,0.4,2.8,3.3,false,32,true,0,21,false,0.3,0,3,1
510,78.47,722.43,1.474347,2.175008,2.46681,6.632316,0,19.54,490,true,5,100,0.4,2.8,3.3,false,32,true,0,21,false,0.08,1,3.4,0
2238,91.07,721.19,2.043031,3.254776,5.029219,11.242476,0,19.1834,353,true,5,103,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2,0
1050,87.55,720.18,2.338247,2.723537,3.964876,8.410239,0,17.2195,308,true,5,92,0.3,2.9,3.6,false,34,true,8,17,false,0.1,1,3.5,1
1364,91.41,720.11,2.039972,3.294659,5.021688,11.277886,0,19.0075,353,true,5,100,0.4,2.8,3.3,false,32,true,0,16,true,0.02,0,2.4,0
2223,89.96,718.14,2.099825,2.723853,4.418779,11.353649,0,17.0684,342,true,5,90,0.3,2,2.7,true,20,true,7,16,false,0.28,1,2.7,1
1278,89.96,718.14,2.099825,2.723853,4.418779,11.353649,0,17.0684,342,true,5,90,0.3,2,2.7,true,20,true,7,16,false,0.08,2,3.8,2
1907,91,717.51,2.154685,3.407671,5.003556,11.725777,0,19.2421,333,true,5,100,0.4,2.8,3.3,false,32,true,0,16,true,0.06,0,2,1
2397,90.93,715.38,1.727971,2.796309,5.345039,11.037204,0,18.0351,414,true,5,103,0.3,2,2,false,34,true,1,15,false,0,0,2,0
1504,61.14,714.61,1.081104,1.788892,1.980736,5.089137,0,22.901,661,true,5,92,0.3,2.1,2.1,true,30,true,1,21,false,0.46,0,2.5,3
2554,94.47,713.93,2.634428,3.898855,5.334205,12.278812,0,17.5798,271,true,5,103,0.3,3,3.6,false,34,true,3,15,true,0.08,2,3.2,2
2336,94.47,713.93,2.634428,3.898855,5.334205,12.278812,0,17.5798,271,true,5,103,0.3,3,2.5,false,24,true,3,15,true,0.08,2,3.2,2
2510,75.14,712.81,2.449519,2.689604,2.867758,7.293889,0,23.0847,291,true,5,99,0.3,2.9,2.9,true,22,true,7,17,true,0.06,0,2.6,0
2039,84.89,712.61,3.958944,4.107356,3.240904,8.886055,0,19.3422,180,true,5,107,0.4,2.4,2.6,false,38,true,8,18,true,0.06,0,2.6,0
384,58.9,711.28,1.523084,1.948449,1.851038,4.591432,0,24.0834,467,true,5,100,0.3,2.6,2.9,true,32,false,9,18,true,0.16,2,3.6,3
1356,88.97,709.76,3.211584,3.480377,3.712134,7.941241,0,18.5718,221,true,5,104,0.4,2.8,2.6,true,32,true,7,18,false,0.3,2,2.9,1
978,88.97,709.76,3.211584,3.480377,3.712134,7.941241,0,18.5718,221,true,5,104,0.4,2.8,2.6,true,32,true,7,18,false,0.4,1,2.1,1
2072,52.31,708.7,1.005248,1.681403,1.719061,3.85096,0,25.4331,705,true,5,99,0.3,2.9,3.7,true,20,false,8,16,false,0.08,2,3.8,2
2063,54.75,708.37,1.133392,1.764516,1.72043,4.202922,0,25.4143,625,true,5,101,0.3,2.6,3.2,true,40,true,3,23,false,0.04,2,3.9,0
3643,99.57,707.24,3.157321,5.508446,9.45508,16.181454,0,10.3887,224,true,5,109,0.5,2.3,3,false,40,true,3,18,true,0.06,0,2.6,0
1156,90.53,704.42,2.102746,3.221655,4.912273,10.674408,0,19.2742,335,true,5,104,0.4,2.8,3.3,false,32,true,0,16,true,0,2,2.5,1
1889,90.53,702.98,2.098448,3.217113,4.902232,10.65285,0,19.2742,335,true,5,104,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2,0
2242,90.54,701.09,2.099072,3.238831,4.889052,10.568758,0,19.3428,334,true,5,105,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2,3
1523,96.46,699.66,1.927438,2.997488,4.598488,11.467446,0,11.2553,363,true,5,91,0.4,2.7,2.9,true,40,true,0,17,true,0.06,0,2.6,0
2656,99.6,699,2.617978,4.52283,9.928977,15.850542,0,9.9401,267,true,5,107,0.5,2.3,2,false,20,true,1,18,true,0.06,0,2.6,0
1992,90.55,698.32,1.989516,3.201583,4.869735,10.562232,0,18.7395,351,true,5,109,0.4,2.5,3.1,false,32,true,0,16,false,0,0,2,0
2230,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.08,0,3.4,3
2326,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,0,3.6,1
2156,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.08,2,3.8,1
2316,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,22,true,0,16,false,0,0,2.3,1
2261,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.3,1,3.5,2
2220,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.08,0,3.4,2
2323,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.28,1,2.7,1
2275,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.3,1,3.5,1
2279,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.1,false,32,true,0,16,false,0,0,2.3,1
2308,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,38,true,0,16,false,0,0,2,3
2001,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.2,0,2,0
2009,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,true,32,true,0,16,false,0,0,2,0
1987,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.28,1,2.7,2
2123,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,2,3.1,1
2050,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2,3
1892,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2,1
1792,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,1,3.6,1
1725,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2,2
1647,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.08,2,3.8,2
1548,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2.7,1
1568,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2.3,1
1199,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0,0,2,0
1227,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.18,0,2.7,2
902,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.04,2,3.9,0
576,90.91,697.8,1.850928,2.992746,4.866109,10.92115,0,18.7804,377,true,5,100,0.4,2.8,3.3,false,32,true,0,16,false,0.48,1,2,0
4326,99.6,697.29,2.611573,4.514212,9.904688,15.817963,0,9.9401,267,true,5,107,0.5,2.3,2.4,true,24,true,1,18,true,0.06,0,2.6,0
3018,99.6,697.29,2.611573,4.514212,9.904688,15.817963,0,9.9401,267,true,5,107,0.5,2.3,2.4,false,26,true,1,18,true,0.06,0,2.6,0
2585,99.88,697.23,2.745,4.699618,10.205357,16.394836,0,6.8217,254,true,5,106,0.5,2,2.1,false,20,true,0,18,true,0.06,0,2.6,0
1982,90.68,695.48,1.895041,3.00571,4.84993,11.041366,0,19.1348,367,true,5,100,0.4,2.8,3.8,false,20,true,1,16,false,0,0,2,0
1962,90.91,694.74,1.842812,2.984008,4.84477,10.895846,0,18.7804,377,true,5,100,0.4,2.8,2,true,34,true,0,16,false,0.44,2,2.4,3
2183,90.55,694.69,1.979174,3.190138,4.844421,10.46628,0,18.7395,351,true,5,109,0.4,2.5,3.1,false,32,true,0,16,false,0.08,2,3.8,2
2493,97.04,694.53,1.596621,2.502694,4.904527,8.541407,0,10.75,435,true,5,101,0.3,2.6,3.2,true,40,true,0,15,true,0.02,0,2.4,0
2318,90.83,693.54,1.839629,2.956776,4.836402,10.835847,0,18.8209,377,true,5,100,0.4,2.9,3.3,false,32,true,0,16,false,0,2,3.1,3
2129,90.83,693.54,1.839629,2.956776,4.836402,10.835847,0,18.8209,377,true,5,100,0.4,2.9,3.3,false,32,true,0,16,false,0,2,3.1,1
1358,49.2,691.32,0.894334,1.616133,1.676374,3.302909,0,25.7944,773,true,5,100,0.3,2.6,2.9,false,22,false,2,20,false,0.22,2,4,3
1068,47.93,690.58,0.923235,1.618816,1.620585,3.033194,0,26.5176,748,true,5,103,0.3,2.6,3.7,false,34,false,4,16,false,0,0,2,2
1216,47.93,690.58,0.923235,1.618816,1.620585,3.033194,0,26.5176,748,true,5,103,0.3,2.6,3.7,false,34,false,4,17,false,0.02,0,2.3,2
771,47.93,690.58,0.923235,1.618816,1.620585,3.033194,0,26.5176,748,true,5,103,0.3,2.6,3.7,false,34,false,4,16,false,0.18,0,2.7,2
77,47.92,690.46,0.923075,1.618708,1.620304,3.032767,0,26.5196,748,true,5,103,0.3,2.6,3.7,false,34,false,4,20,false,0.18,2,3.8,3
1162,99.6,690.45,2.585955,4.47974,9.807528,15.576113,0,9.9401,267,true,5,107,0.5,2.3,4,false,24,true,1,18,true,0.06,0,2.6,0
1236,75.09,690.32,4.3145,3.693932,2.1238,7.35551,0,30.225,160,true,10,94,0.4,2.7,3.3,false,32,true,9,22,false,0.1,1,2.6,3
862,55.08,689.65,1.098169,1.779283,1.761738,4.629283,0,24.7973,628,true,5,98,0.3,2.2,3.7,false,26,false,9,22,true,0.04,1,2.5,2
1999,86.27,688.03,1.782461,2.222013,3.1939,7.278782,0,15.3493,386,true,5,92,0.3,2.8,2.6,true,32,true,7,18,false,0.02,0,2.3,2
2032,90.21,686.68,2.013724,3.126471,4.788563,10.14142,0,18.8672,341,true,5,109,0.4,2.9,2.9,true,40,true,0,16,false,0,0,3.6,1
1929,78.13,686.41,1.476151,2.333715,3.988901,9.82572,0,18.1672,465,true,5,91,0.3,2,3.5,false,34,true,4,16,false,0,0,3.6,1
1383,90.21,685.14,2.009208,3.121702,4.777824,10.122203,0,18.8672,341,true,5,109,0.4,2.9,2.9,true,40,true,0,16,false,0.28,2,3.2,0
4615,99.56,684.98,2.614427,4.519215,9.72983,15.77363,0,10.093,262,true,5,107,0.5,2.3,2.4,false,26,true,2,18,true,0.06,0,2.6,0
1859,89.46,684.96,1.968276,3.151324,4.776569,10.42018,0,19.2734,348,true,5,109,0.4,2.5,4,false,20,true,1,16,false,0,0,2,0
2193,73.15,684.6,2.1,2.585052,2.754265,9.021531,0,25.5902,326,true,5,104,0.3,2,2.7,true,20,true,7,16,false,0,0,2,0
2111,79.53,681.51,2.793074,3.098697,2.741833,9.271181,0,25.4487,244,true,5,101,0.3,2.9,3.6,false,34,true,8,16,false,0,0,2,0
2363,99.56,681.07,2.599504,4.461601,9.67429,15.668752,0,10.1035,262,true,5,107,0.5,2.4,2.8,true,22,true,2,18,true,0.06,0,2.6,0
2043,99.66,680.13,2.983026,5.301353,9.660938,16.659797,0,9.8565,228,true,5,107,0.5,2.3,2,false,28,true,3,18,true,0.06,0,2.6,0
2476,99.42,679.18,2.089785,3.164165,5.06284,10.941145,0,10.29,325,true,5,103,0.3,3,2.5,false,24,true,3,15,true,0.02,0,2.4,3
2167,99.42,679.18,2.089785,3.164165,5.06284,10.941145,0,10.29,325,true,5,103,0.3,3,2.5,false,24,true,3,15,true,0.02,0,2.4,0
4603,99.66,678.87,2.9775,5.293385,9.64304,16.63424,0,9.8565,228,true,5,107,0.5,2.3,2.3,true,32,true,3,18,true,0.06,0,2.6,0
4495,99.66,678.42,2.975526,5.290539,9.636648,16.625263,0,9.8565,228,true,5,107,0.5,2.3,2.4,false,28,true,3,18,true,0.06,0,2.6,0
