Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpTrendTimeframe,InpEntryTimeframe,InpFastEMA_Period,InpSlow1EMA_Period,InpSlow2EMA_Period,InpStopLossPoints,InpTakeProfit1_Points,InpTakeProfit2_Points,InpUseTrailingSL,InpTrailingStartPoints,InpTrailingStopPoints,InpMoneyManagement,InpRiskPercent,InpUseDailyFilter,InpDailyEmaPeriod,InpUseAdxFilter,InpUseDiCrossover,InpAdxPeriod,InpAdxThreshold,InpUseSessionFilter,InpTradingStartHour,InpTradingEndHour,InpBreakoutLookbackBars,InpBreakoutOffsetPoints,InpUseLossLimit
2404,3.74,75.59,3.149583,9.370986,2.552854,2.214447,0,5.3494,24,30,1,8,28,55,250,325,600,false,350,200,0,0.2,true,220,false,false,21,28,true,11,21,10,30,true
1691,2.85,64.01,2.667083,9.102532,1.004551,1.640152,0,11.176,24,30,1,11,27,50,200,300,800,false,350,150,0,0.1,false,180,false,false,20,22,true,9,20,12,10,true
678,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,350,100,1,0.3,true,200,false,false,27,22,true,9,21,13,30,false
942,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,350,100,1,0.3,true,200,false,false,29,22,true,9,21,13,30,false
1067,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,350,100,1,0.3,true,200,false,false,27,26,true,9,20,13,30,false
1330,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,350,100,1,0.4,true,210,false,false,27,26,true,9,20,13,30,false
1438,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,300,200,1,0.5,true,210,false,false,29,22,true,9,21,13,30,false
1905,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,350,100,1,0.5,true,210,false,false,27,26,true,9,20,13,30,false
2190,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,350,100,1,0.3,true,230,false,false,21,26,true,9,20,13,30,false
2330,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,300,200,1,0.5,true,200,false,false,29,22,true,9,21,13,30,false
2363,6.22,74.15,2.746296,9.059783,2.520394,2.116271,0,5.3425,27,30,4,8,29,50,250,350,700,false,350,100,1,0.5,true,210,false,false,20,27,true,9,21,13,30,false
2572,11.1,68.78,2.292667,8.541667,2.337865,2.126263,0,5.3713,30,30,4,8,28,45,250,250,700,false,300,200,1,0.2,true,210,false,false,21,28,true,11,21,10,30,true
986,6.39,66.13,2.449259,8.219432,2.340885,1.96226,0,5.1582,27,30,4,8,28,45,250,250,700,false,300,200,1,0.2,true,210,false,false,21,26,true,10,20,13,40,false
2061,6.11,70.94,2.627407,8.20935,2.327428,2.066131,0,5.4701,27,30,3,10,28,55,275,250,800,false,350,100,1,0.2,true,210,false,false,20,22,true,10,22,15,40,false
1410,5.97,78.06,2.891111,8.174632,2.007716,2.261236,0,6.9269,27,30,3,10,27,55,300,350,800,false,300,200,1,0.5,true,210,false,false,22,26,true,11,22,15,30,true
2108,6.2,77.15,2.857407,8.117159,1.984311,2.268908,0,6.9829,27,30,3,10,27,55,300,350,650,false,300,200,1,0.5,true,210,false,false,22,26,true,11,22,15,30,true
1120,18.04,69.52,2.106667,8.001007,2.213308,2.179732,0,5.6351,33,30,3,11,27,55,275,225,800,false,250,100,1,0.1,true,210,false,false,22,26,true,11,22,15,40,false
2032,18.04,69.52,2.106667,8.001007,2.213308,2.179732,0,5.6351,33,30,3,11,27,55,275,225,800,false,250,100,1,0.1,true,200,false,false,22,26,true,11,22,15,40,false
2510,18.04,69.52,2.106667,8.001007,2.213308,2.179732,0,5.6351,33,30,3,11,27,55,275,225,800,false,250,100,1,0.1,true,190,false,false,22,26,true,11,22,15,40,false
2278,29.04,66.71,1.853056,7.772589,2.29244,2.11835,0,5.2412,36,30,3,10,27,50,275,225,650,false,400,150,1,0.2,true,190,false,false,27,22,true,9,21,13,30,false
2677,29.04,66.71,1.853056,7.772589,2.29244,2.11835,0,5.2412,36,30,3,10,27,50,275,225,650,false,400,100,0,0.3,true,200,false,false,27,22,true,9,21,13,30,false
3779,18.56,63.18,1.914545,7.588113,2.314286,2.141118,0,4.6712,33,16385,4,10,26,60,275,275,500,false,400,100,0,0.1,true,230,false,false,22,30,true,8,22,8,30,false
3698,18.56,63.18,1.914545,7.588113,2.314286,2.141118,0,4.6712,33,16385,4,10,26,60,275,275,500,false,250,100,0,0.3,true,210,false,false,22,30,true,8,22,8,30,false
3286,18.56,63.18,1.914545,7.588113,2.314286,2.141118,0,4.6712,33,16385,4,10,26,60,275,275,500,false,400,100,0,0.1,true,220,false,false,22,30,true,8,22,8,30,false
3046,1.43,60.09,2.861429,7.433619,1.162058,1.296575,0,9.1706,21,30,4,8,27,55,250,350,700,false,300,200,0,0.1,false,210,false,false,30,28,false,11,22,15,40,false
1561,5.75,65.76,2.435556,7.245014,1.863946,2.098595,0,6.3594,27,30,4,8,30,50,300,200,800,false,300,100,0,0.5,true,230,false,false,22,28,true,11,22,15,40,true
2180,1.59,59.08,2.813333,7.028571,1.314349,1.440705,0,8.1166,21,30,2,11,28,55,275,300,750,false,400,150,1,0.1,true,190,false,false,23,28,true,9,19,13,30,true
1116,6.03,55.55,2.057407,6.865892,2.034799,1.873949,0,4.733,27,16385,3,10,30,55,275,275,550,false,350,150,1,0.1,true,210,false,false,24,28,true,8,18,10,20,true
3924,9.2,57.75,1.925,6.821573,1.354998,1.749087,0,7.6031,30,30,2,9,26,60,275,250,600,false,250,100,1,0.4,true,210,false,false,29,27,true,9,21,14,40,true
1835,13.9,55.8,1.690909,6.530228,1.127045,1.525323,0,8.8131,33,16385,4,10,26,60,275,275,600,false,250,150,1,0.4,false,200,false,false,27,24,false,12,21,13,40,false
887,1.53,53.21,2.53381,6.429592,1.18376,1.310044,0,8.1598,21,30,2,11,28,55,275,300,600,false,350,200,1,0.2,true,190,false,false,23,28,true,9,19,13,30,true
1544,1.53,53.21,2.53381,6.429592,1.18376,1.310044,0,8.1598,21,30,2,11,28,55,275,300,600,false,350,100,1,0.4,true,210,false,false,23,28,true,9,19,13,30,true
2246,10.33,69.52,2.317333,6.023121,1.93757,2.177806,0,6.427,30,30,1,10,30,50,200,250,750,false,400,200,0,0.4,true,190,false,false,20,30,true,9,21,13,30,false
827,5.93,64.11,2.374444,5.763001,2.142714,1.96184,0,5.4345,27,30,5,11,30,60,200,350,550,false,250,100,1,0.1,true,210,false,false,21,22,true,11,20,12,10,false
1513,5.93,64.11,2.374444,5.763001,2.142714,1.96184,0,5.4345,27,30,5,11,30,60,200,350,550,false,250,100,1,0.1,true,190,false,false,21,22,true,11,20,12,10,false
2676,5.93,64.11,2.374444,5.763001,2.142714,1.96184,0,5.4345,27,30,5,11,30,60,200,350,550,false,400,150,1,0.2,true,210,false,false,21,22,true,11,20,12,10,false
1731,9.49,68.8,2.293333,5.52334,2.190385,2.053225,0,5.6896,30,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,190,false,false,20,22,true,10,22,15,40,true
3413,7.27,60.3,2.01,5.279631,1.216707,1.561536,0,8.9153,30,30,4,10,26,55,200,300,600,false,250,200,1,0.2,false,190,false,false,29,24,false,12,18,8,40,true
2252,10.86,71.08,2.369333,5.137369,2.416044,2.101306,0,5.3135,30,30,4,8,29,50,250,350,800,false,250,150,0,0.1,true,180,false,false,29,22,true,9,21,13,30,false
2542,10.86,71.08,2.369333,5.137369,2.416044,2.101306,0,5.3135,30,30,4,8,29,50,250,350,800,false,250,150,0,0.1,true,180,false,false,21,27,true,9,21,13,30,false
1809,1.51,59.54,2.835238,5.075291,1.153206,1.303631,0,9.2215,21,30,2,9,27,55,200,325,800,false,400,100,1,0.4,false,190,false,false,24,29,false,12,18,9,30,false
2649,5.33,68.04,2.52,5.06209,1.893682,1.987785,0,6.4894,27,30,4,8,28,45,250,350,800,false,300,150,1,0.3,true,240,false,false,21,26,true,10,20,13,40,false
2583,3.19,65.39,2.724583,4.96063,2.07324,1.88839,0,5.7166,24,30,1,8,29,50,250,350,700,false,300,200,1,0.5,true,210,false,false,21,27,true,10,19,14,30,false
1903,1.33,60.1,2.861905,4.946159,1.067116,1.540849,0,9.9842,21,30,2,10,28,55,225,350,800,false,250,150,1,0.2,true,220,false,false,21,28,true,11,21,10,30,true
2114,1.33,60.1,2.861905,4.946159,1.067116,1.540849,0,9.9842,21,30,2,10,28,55,225,350,800,false,250,150,1,0.2,true,220,false,false,25,23,true,11,21,10,30,true
2394,1.33,60.1,2.861905,4.946159,1.067116,1.540849,0,9.9842,21,30,2,10,28,55,225,350,800,false,250,150,1,0.2,true,240,false,false,25,23,true,11,21,10,30,true
2096,3.46,64.85,2.702083,4.925545,2.190138,1.89119,0,5.4232,24,30,1,8,28,55,250,325,600,false,350,200,0,0.2,true,190,false,false,25,29,true,10,19,10,30,true
2444,3.44,64.84,2.701667,4.910736,2.189801,1.858738,0,5.4233,24,30,1,8,28,55,250,325,600,false,350,200,0,0.2,true,190,false,false,20,30,true,9,21,13,30,true
1451,95.31,96.49,1.608167,4.695519,2.781493,3.136202,0,6.1903,60,30,1,11,26,50,275,225,650,false,350,150,0,0.5,false,180,true,false,20,26,true,8,19,9,30,false
2340,95.31,96.49,1.608167,4.695519,2.781493,3.136202,0,6.1903,60,30,1,11,26,50,275,225,650,false,350,150,0,0.5,false,210,true,false,20,26,true,8,19,9,30,false
2264,9.84,71.86,2.395333,4.675703,2.426883,2.196292,0,5.3525,30,30,1,8,30,55,300,350,750,false,250,200,0,0.1,true,220,false,false,21,28,true,11,21,10,30,true
2035,6.25,66.11,2.448519,4.652486,2.307504,1.897828,0,5.2616,27,30,3,9,28,55,275,350,550,false,250,100,1,0.1,true,210,false,false,27,26,true,9,20,8,30,false
1956,1.52,55.61,2.648095,4.641781,1.070658,1.398402,0,9.3535,21,30,2,10,28,55,225,300,750,false,400,150,1,0.2,true,190,false,false,20,30,true,9,21,13,30,false
932,20.09,56.29,1.563611,4.626933,1.136942,1.542432,0,8.729,36,16385,4,11,28,55,225,275,800,false,350,100,1,0.2,false,200,false,false,27,24,false,12,21,13,40,false
1375,20.09,56.29,1.563611,4.626933,1.136942,1.542432,0,8.729,36,16385,4,11,28,55,225,275,800,false,350,100,0,0.2,false,200,false,false,27,24,false,12,21,13,40,false
1756,10.51,68.9,2.296667,4.517101,2.166667,1.991359,0,6.1011,30,30,4,9,29,60,300,350,800,false,250,150,0,0.1,true,180,false,false,24,28,true,8,18,10,20,true
1778,25,63.75,1.770833,4.506601,1.940049,1.993459,0,5.8952,36,30,3,11,27,55,275,225,800,false,250,100,1,0.1,true,210,false,false,20,22,true,10,22,15,40,false
2573,5.37,61.39,2.273704,4.38984,2.051805,1.819433,0,5.4131,27,30,5,11,30,60,275,350,700,false,350,100,1,0.3,true,200,false,false,21,22,true,11,20,12,10,false
1345,4.72,56.12,2.078519,4.368547,1.565848,1.662011,0,6.5441,27,30,4,8,28,45,250,250,700,false,300,200,1,0.2,true,210,false,false,21,28,true,11,21,12,40,false
2555,6.05,65.46,2.424444,4.351767,2.058491,1.875948,0,6.1011,27,30,4,9,29,60,300,350,800,false,250,150,0,0.1,true,210,false,false,24,28,true,8,18,10,20,true
159,26.55,59.79,1.660833,4.310631,2.102321,1.86886,0,5.3079,36,30,5,11,27,60,275,250,550,false,300,150,1,0.1,true,210,false,false,25,26,true,10,20,13,30,false
2336,5.24,65.37,2.421111,4.284925,1.858686,1.911216,0,6.2696,27,30,3,11,28,55,300,350,800,false,300,200,1,0.5,true,180,false,false,22,26,true,11,22,15,40,false
4081,9.53,59.18,1.972667,4.257017,1.483952,1.849312,0,7.1376,30,30,4,8,28,50,275,275,700,false,350,100,1,0.4,true,210,false,false,23,22,true,9,18,13,40,false
3693,25.97,53.33,1.481389,4.232121,1.928752,1.698868,0,5.0616,36,30,5,11,29,60,250,200,600,false,400,150,0,0.2,true,210,false,false,26,23,true,8,21,13,40,false
3190,25.92,53.3,1.480556,4.226392,1.925578,1.690135,0,5.0671,36,30,5,11,29,60,250,200,600,false,400,150,0,0.4,true,180,false,false,26,23,true,8,21,13,40,false
897,8.95,63.54,2.118,4.218845,2.148073,1.860772,0,5.3353,30,30,3,10,27,55,200,325,800,false,300,200,1,0.2,true,190,false,false,27,22,true,9,21,13,30,false
1102,8.95,63.54,2.118,4.218845,2.148073,1.860772,0,5.3353,30,30,3,10,27,55,200,325,800,false,300,200,1,0.1,true,200,false,false,27,22,true,9,21,13,30,false
1471,8.95,63.54,2.118,4.218845,2.148073,1.860772,0,5.3353,30,30,3,10,27,55,200,325,800,false,300,200,1,0.1,true,200,false,false,20,30,true,9,21,13,30,false
1824,8.95,63.54,2.118,4.218845,2.148073,1.860772,0,5.3353,30,30,3,10,27,55,200,325,800,false,300,200,1,0.2,true,190,false,false,21,22,true,9,21,13,30,false
2245,8.95,63.54,2.118,4.218845,2.148073,1.860772,0,5.3353,30,30,3,10,27,55,200,325,800,false,300,200,1,0.2,true,240,false,false,21,26,true,9,21,13,30,false
2481,8.95,63.54,2.118,4.218845,2.148073,1.860772,0,5.3353,30,30,3,10,27,55,200,325,800,false,300,200,1,0.1,true,190,false,false,27,22,true,9,21,13,30,false
1565,6.09,62.49,2.314444,4.173692,2.181152,1.794545,0,5.2767,27,30,3,9,28,55,300,325,550,false,400,150,1,0.2,true,200,false,false,27,22,true,9,21,13,30,false
2288,35.7,61.94,1.588205,4.140974,2.032152,1.927234,0,5.5454,39,30,3,9,27,60,300,225,800,false,350,150,0,0.1,true,240,false,false,22,28,true,11,22,15,40,true
1856,1.45,52.62,2.505714,4.132143,1.019175,1.16075,0,9.2953,21,30,2,10,28,55,250,350,650,false,300,150,0,0.4,false,210,false,false,30,30,false,11,22,10,30,true
1889,1.49,55.35,2.635714,4.076709,1.283925,1.44285,0,7.7368,21,30,3,10,28,55,275,250,800,false,350,100,1,0.2,true,220,false,false,22,28,true,12,18,14,40,false
2084,1.49,55.35,2.635714,4.076709,1.283925,1.44285,0,7.7368,21,30,3,10,28,55,275,250,800,false,350,100,1,0.2,true,210,false,false,22,28,true,12,18,14,40,false
2054,5.39,54.81,2.03,4.050083,1.393947,1.759993,0,7.0542,27,30,3,11,27,55,275,225,800,false,250,100,1,0.1,true,220,false,false,22,28,true,12,18,14,40,false
3118,4.47,49.85,1.846296,4.017554,1.362022,1.577442,0,6.6373,27,30,3,11,27,55,250,225,600,false,400,200,1,0.5,true,220,false,false,24,22,true,11,19,14,40,true
1874,4.59,59.04,2.186667,3.989367,1.561492,1.80581,0,6.8537,27,30,1,8,29,50,200,300,700,false,400,150,1,0.2,true,190,false,false,20,29,true,10,21,9,30,true
2193,8.79,57.96,1.932,3.964706,1.937166,1.778214,0,5.4345,30,30,5,11,30,60,200,350,550,false,250,100,1,0.1,true,210,false,false,25,30,true,12,21,12,10,false
2167,15.56,70.54,2.137576,3.931837,2.381499,2.058774,0,5.3612,33,30,1,9,30,55,250,350,800,false,400,100,1,0.4,true,220,false,false,21,26,true,12,20,12,10,true
2580,5.11,57.09,2.114444,3.91573,1.527696,1.703447,0,6.7705,27,30,3,9,28,55,300,325,550,false,400,150,1,0.2,true,230,false,false,21,26,true,10,20,13,40,false
24,24.28,48.29,1.341389,3.912545,1.680821,1.579183,0,5.288,36,30,5,9,27,60,250,200,500,false,300,150,0,0.3,true,220,false,false,25,23,true,9,19,11,40,false
1982,24.28,48.29,1.341389,3.912545,1.680821,1.579183,0,5.288,36,30,5,9,27,60,250,200,500,false,300,150,0,0.3,true,210,false,false,25,23,true,9,19,11,40,false
2109,8.41,55.92,1.864,3.873587,1.562448,1.620434,0,6.5553,30,16385,3,9,29,50,300,325,700,false,300,150,0,0.1,true,190,false,false,20,22,true,10,22,8,10,false
2243,7.56,55.82,1.860667,3.869923,1.499328,1.678127,0,6.8211,30,16385,3,9,29,50,300,325,700,false,300,150,0,0.1,true,240,false,true,26,22,true,9,21,14,10,false
768,15.95,50.36,1.526061,3.850028,1.627666,1.718793,0,5.9213,33,16385,3,10,30,55,275,275,550,false,350,150,1,0.1,true,210,false,false,29,22,true,9,21,8,30,false
2561,66.22,71.86,1.596889,3.763846,2.404149,2.640809,0,5.3987,45,30,1,11,30,45,275,250,700,false,400,150,1,0.1,true,190,true,false,20,26,true,8,19,9,30,false
2369,7.94,58.82,1.960667,3.678506,1.639353,1.769628,0,6.4993,30,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,190,false,false,29,30,true,10,20,13,40,true
2118,8.38,47.29,1.576333,3.671751,1.549984,1.60972,0,5.8708,30,16385,3,10,30,55,275,275,550,false,350,150,1,0.1,true,210,false,false,20,22,true,9,18,10,20,false
1389,4.23,51.88,1.921481,3.642894,1.304501,1.639236,0,7.1412,27,30,1,8,29,50,200,225,750,false,250,150,1,0.5,true,220,false,false,22,28,true,12,18,9,30,false
1915,4.23,51.88,1.921481,3.642894,1.304501,1.639236,0,7.1412,27,30,1,8,29,50,200,225,750,false,250,150,1,0.3,true,230,false,false,22,28,true,12,18,9,30,false
1796,77.5,68.13,1.419375,3.620385,2.279358,2.547574,0,5.4181,48,30,1,11,26,50,275,225,650,false,400,150,1,0.2,true,190,true,false,20,26,true,8,19,9,30,false
1060,4.51,55.71,2.063333,3.549657,1.553975,1.713544,0,6.4939,27,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,190,false,false,23,28,true,11,19,13,40,true
1510,4.51,55.71,2.063333,3.549657,1.553975,1.713544,0,6.4939,27,30,3,9,28,45,225,325,750,false,400,150,1,0.1,true,210,false,false,23,28,true,11,19,13,40,true
592,71.24,66.87,1.013182,3.542586,1.535124,1.74016,0,7.8889,66,30,2,11,29,60,200,250,700,false,250,100,0,0.4,false,200,false,false,27,26,true,9,20,11,10,true
1154,8.15,60.2,2.006667,3.505202,1.725423,1.803197,0,6.2686,30,30,1,9,30,55,250,350,800,false,400,100,1,0.4,true,210,false,true,25,23,true,12,20,12,10,true
1323,8.15,60.2,2.006667,3.505202,1.725423,1.803197,0,6.2686,30,30,1,9,30,55,250,350,800,false,400,100,1,0.3,true,200,false,true,25,23,true,12,20,12,10,true
3266,14.33,48.06,1.456364,3.494032,1.675148,2.596615,0,5.5863,33,16385,5,10,27,50,200,325,750,false,350,200,1,0.1,true,180,true,true,28,25,false,10,18,9,20,false
2406,13.72,56.57,1.714242,3.344385,1.7993,1.808814,0,5.6735,33,30,4,8,29,50,250,350,700,false,350,100,1,0.5,true,210,false,true,25,23,true,11,20,13,30,false
1403,1.39,45.2,2.152381,3.322713,1.031257,1.192229,0,7.9409,21,30,3,9,28,55,300,325,550,false,400,150,1,0.2,true,230,false,false,30,27,true,12,19,14,40,false
1969,22.69,60.52,1.681111,3.293293,2.081155,1.803292,0,5.3171,36,30,1,9,30,55,275,225,800,false,250,150,1,0.5,true,210,false,false,21,27,true,9,19,12,10,true
5177,39.33,49.5,1.178571,3.228726,1.224036,1.551018,0,7.3036,42,30,1,8,26,55,225,200,600,false,250,200,0,0.4,true,180,false,false,20,22,true,9,21,11,30,true
1806,8.45,58.2,1.94,3.207053,1.945187,1.723224,0,5.4649,30,30,5,11,30,60,275,350,800,false,250,150,0,0.1,true,210,false,false,21,26,true,10,20,12,10,false
1680,7.86,58.08,1.936,3.193353,1.641142,1.709614,0,6.3666,30,30,5,11,30,60,275,350,800,false,250,150,0,0.1,true,180,false,false,21,22,true,11,20,12,10,false
2233,4.31,52.37,1.93963,3.180266,1.464895,1.582958,0,6.4913,27,30,4,8,29,50,250,350,700,false,350,100,1,0.3,true,200,false,false,21,27,true,10,19,14,30,false
2303,4.31,52.37,1.93963,3.180266,1.464895,1.582958,0,6.4913,27,30,4,8,29,50,250,350,700,false,350,100,1,0.3,true,200,false,false,27,26,true,10,18,14,30,false
1705,8.63,60.11,2.003667,3.104692,2.02527,1.758109,0,5.6975,30,30,1,8,30,55,300,350,750,false,250,200,0,0.1,true,220,false,false,22,28,true,11,19,15,10,true
2456,4.32,54.81,2.03,3.084823,1.422159,1.643203,0,6.9348,27,30,5,11,30,60,275,350,800,false,250,150,0,0.1,true,210,false,false,22,28,true,11,19,15,10,true
1837,76.84,85.08,1.350476,3.026679,2.037356,2.604615,0,8.0132,63,30,1,8,27,50,225,275,750,false,350,150,0,0.5,false,180,true,false,20,26,true,8,19,9,30,false
727,12.94,50.84,1.540606,2.999214,1.699198,1.617595,0,5.4941,33,30,5,11,30,60,200,350,550,false,250,100,1,0.1,true,220,false,true,29,22,true,10,20,12,10,false
551,22.7,63.08,1.752222,2.998733,2.056733,1.868277,0,5.8819,36,30,1,9,30,55,250,350,800,false,300,150,1,0.3,true,240,false,false,25,28,true,11,19,12,10,true
1066,35.69,50.97,1.306923,2.957373,1.713853,1.711907,0,5.7689,39,16385,5,8,26,55,275,250,800,false,350,100,1,0.2,true,210,false,false,26,27,true,9,20,14,20,false
2659,19.1,51.49,1.430278,2.915551,1.48772,1.582952,0,6.3105,36,30,3,11,30,55,275,250,700,false,300,200,1,0.2,true,180,false,false,22,26,true,11,22,15,40,false
