PresetID,Symbol,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_pips,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR
32,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,9.9,2.0,1.0,0.0,0,0.0,0.0,0.0,1.0,5.0,0.5
33,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.4,2.0,1.0,30.0,0,0.0,0.0,0.0,1.0,5.0,0.5
34,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.5,2.0,0.8,30.0,0,0.0,0.0,0.0,1.0,5.0,0.5
35,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,40.0,0,0.0,0.0,0.0,1.0,5.0,0.5
36,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,40.0,1,2.0,0.6,35.0,3.0,5.0,0.5
37,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
38,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
39,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.0,2.0,0.8,50.0,0,0.0,0.6,40.0,1.0,5.0,0.5
40,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.0,2.0,1.0,30.0,1,2.0,0.6,30.0,3.0,5.0,0.5
41,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,50.0,1,2.0,0.6,45.0,3.0,5.0,0.5
42,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,30.0,1,3.0,0.6,40.0,3.0,5.0,0.5
43,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,40.0,1,3.0,0.5,40.0,4.0,5.0,0.5
44,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,30.0,1,2.0,0.6,45.0,4.0,5.0,0.5
45,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,9.9,2.0,0.8,0.0,1,2.0,0.5,35.0,3.0,5.0,0.5
46,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,1.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,40.0,1,2.0,0.6,35.0,3.0,5.0,0.5
47,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.0,2.0,0.8,40.0,1,2.0,0.6,30.0,3.0,5.0,0.5
48,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,30.0,1,2.0,0.6,32.0,4.0,5.0,0.5
49,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,55.0,1,2.0,0.6,42.0,4.0,5.0,0.5
50,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,55.0,1,2.0,0.6,38.0,4.0,5.0,0.5
51,XAUUSD,50.0,6.0,3.0,20.0,1,35.0,1,0.5,2.0,50.0,2.0,0,7.000000000000001,1.2,2.0,0.8,30.0,1,2.0,0.6,38.0,4.0,5.0,0.5
